Organisation,Number of payments,Total amount
Pjw Properties Ltd,3,1600
Bizz Energy Ltd In Administration,1,966.47
VOYAGE LTD,3,20372
Macks Solicitors,2,8350
Gladman Care Homes Ltd,3,291
Brand Energy& Infrastructure Services Uk,16,11676
Juste Nous,9,2106.77
www.jacksontrophies.co,1,625.94
Phil Faulks,1,2800
Elmwood Nursing Home,149,1236377.8
Village Hotel Leeds North,13,844.31
B & Q 1224,1,5.76
L Philliskir & Son Ltd,2,56861.61
City Of London Corpora,1,165
Custom Controllers UK Ltd,1,59.99
St Vicent De Paul Society,1,2593
Cemex UK Operations Lt,1,501.66
Fobi Diy,2,45.93
Www.Camlock.Com,1,32.99
Amber Taxis (Alfreton) Ltd,1,554.7
Cable Ties Uk,2,105.8
Carpet Time Ltd,1,52.83
The Old Unicorn,6,100.83
Www.Mind.Org.Uk,1,264
Paypal *castletapes,1,22.65
Loqate,1,100
Crown Foods Ltd,1,2052
J Caverhill Conservation Ltd,1,2100
Cathryn Perkins,6,1225
Wessex Lift Co Ltd,118,578446.44
Wise Security Services Ltd,1,3029.1
Frut Direct Ltd,3,346.56
Welwyn Garden City Housing Association,28,65309.9
Eaton Smith Llp,1,760.72
Crisis Prevention,4,1645.5
Miranda Pattinson,4,4890
Archery Gb,1,1320
DEBORAH TAYLOR PLAYGROUP,1,3541.51
Gavin Westworth,12,652.95
Premier Farnell,2,82.42
D MARTIN,1,3687.45
Gilbert And Sandford Residents Assoc,1,210
Jayne Harper,5,949.6
4Front Security Ltd,1,1213
Wharfedale Family History Group,2,20
Churwell Park Bowling Club,1,200
HANOVER HOUSING ASSOCIATION,3,1791.62
Monkeyoffice.Co.Uk,11,453.58
Ted Smith & Sons (Furnishers) Ltd,2,500.67
Annette Crowther,18,3426.01
Empire Ceramics Ltd,6,62552.89
Feather Smailes Scales Llp,1,30
Music Exchange,2,473.73
Phone And Gadget Centre,3,61.33
Ascl Professional Development Ltd,3,1156
Brillfood Co Uk,1,528.96
Right Choices,8,25405.28
Mcps-Prs Alliance Ltd,1,578.68
Westco Trading,1,35000
Craftyarts.Co.Uk,5,203.9
Leeds Coppice Workers,6,3910
Upt Blackpool Contactles,1,4.5
Www.Luggagesuperst,1,30.64
La Besi Restaurant,1,357.2
Weekly-Pay Carpets Ltd,1,90
Ironmongery Direct Ltd,1,70.5
The Cps Ltd,3,154.32
Laytons Solicitors Llp,1,37500
Rsh Property Services Ltd,1,875
Thorner Youth Club,1,500
Jo Carrick,16,10891.74
Moto Woolley Edge N/e,1,39.49
Mohammad Yasin Khan,1,275
Stonham,2,2605.7
Gem Precast,9,29664
Fastsigns Leeds Ltd,7,3515.92
Louise Atkinson,1,340
Krispy Kreme Leeds Trinit,1,115.22
Charles Wrigley.,2,800.62
Brookside,10,12709.84
J Penrose,2,875
Paypal *britanniare,1,63.38
Tiofp,1,440
Garforth Panelbeaters Ltd,699,705441.240000001
Technical Surfaces Ltd,51,43403.09
Anyvan,3,134.17
3rd Crossgates Rainbows,2,1000
Adelia String Quartet,1,300
Mad Hatter Hotel,1,25
Peta UK Ltd,1,50.75
New Pudsey Stn To,1,61.95
Sophie Allport Ltd,3,2756.33
Klm Uk,20,9715.54
Unidin.Co.Uk,1,500
Mdp Supplies,1,34.66
Total Training Solutions,1,740
Sainsburys.Co.Uk,1,39.99
Care & Health Law,2,3018
Bissell Direct,1,11.52
Nch Childrens Services Ltd,4,147204
Pudsey Glass & Joinery,1,550
Sayfa Systems Uk,1,596.7
Flamingoland Ltd,15,6546.94
Sue Dominey,1,2800
Leeds Grand Theatre & Opera,127,2427529.14
Ncp Ltd,32,225.1
Dr Shutkever & Partners,1,151.42
Mr S Harrison,1,50
Georgina Goring,2,400
Cobolt Systems Ltd,1,449.1
Mobile Installation Solu,2,110.84
Books And More Bradford,3,6200.2
Manjit Kaur Marwaha,13,4123.85
Spotify P054658b1f,1,9.99
Newlandmedia Ltd,1,4749.54
Rajapack Ltd,1,105.83
Emailogic Ltd,1,5069.14
Hexagon Care Service,16,105594.28
Bilko Promotional Merchandising Ltd,2,8574.2
MIDDLETON ELDERLY AID,1,1413
Rachel Maclean,1,92.9
Keoghs,1,13217.8
Gt Flowers,387,75380.01
Pudsey Writers Group,1,30
SUNNYBANK DAY NURSERY LTD,2,11075.84
Kings Foundation Ltd,2,182.6
Jobtarget Uk,1,300
LEEDS WOMENS AID,12,116895.83
Conservation By Design Ltd,18,19466.29
Scan Computers Int Ltd,4,575.55
Harlequin Property Services,1,720
Ej Parkinson & Son,18,1335
Daleswear Ltd,1,2088
Fenton Timber,2,459.8
Dsk Environmental Ltd,157,74029
Working With Nrthn,1,2854.98
The Flower House,1,29.96
A P Fitzpatrick Fine Art Materials,3,2731.8
Sandbag Ltd,1,706.17
Spencer Properties Uk Ltd Bond Account,6,2490.68
Cosy Cats Cattery,1,151.67
Public Arts Consultancy,1,851.1
Yk Building Services Ltd,3,7510
Andrew Mcmillan,2,1405
Derbyshire Aggregates,1,556
Definitive Design & Media,2,6000
Children Workforce Development Council,1,4000
Opal Luncheon Club,6,17622.15
Marys Florist,1,100
Safety-Kleen UK Ltd,1,1209.6
Meditec Medical Ltd,2,4705
Sporta,4,511.66
Janet Hull,2,1947
MANCHESTER CAMERATA LTD,1,11450
Hickmans Agricultural Services,4,4810
Universal Engine Power,2,149.52
WILLIAM G SEARCH LTD,2,1150
Albaba,1,6
Onward Travel Solution,1,19.17
Www.Diy-Pest-Control.C,1,61.25
Jvd Engineering Ltd,3,7500
Yorkshire Laundry Services,2,52.5
Gate Remotes Ltd,3,182.66
Emma Done,3,1219.8
Yema Ltd,7,194
Evac & Chair International Ltd,21,20853
Paypal *yzfpicasso,1,2.97
Dominos Pizza - Horsf,1,13.73
Brookleigh Social Committee,1,1389.86
Joseph Firth Ltd,73,13274.39
Attitude Translations,11,558.15
Hicks & Mcpeake,26,14866
Paypal *ukpaperonli,1,51.3
Let-Leeds,10,4848
The Ruth Gorse Academy,1,28
Netsimplicity.Com,2,6000
STEAMING LTD,2,1431.98
The Grove Pre-School,1,564
CENTREWIRE LTD,1,1850
Watmoughs Print,7,17082
Andy Edwards Design Ltd,1,400
Algolia Algolia Starte,2,927.61
Agam Jung,2,325
Lupine Adventure Co-Operative,1,1315
Stone Gables Residential Home,7,106284.94
Www.Gravelmaster.C,1,74.17
Network Communication Systems Ltd,1,595
Gumtree Com,1,3.99
Artswork,1,108.33
Holborn Towers Residents Association,4,600
J & L Contracts Ltd,5,37000
Morley Newlands Academy,6,13000
Sorted Media Uk Ltd,11,8888
Dr Ia Bargh,1,50
Robinhood Waterspo,4,646.55
Richard Gordon Routledge,47,12401
Haag-Streit UK Ltd,1,186
Www.Roomzzz.Co.Uk,5,3073.75
London School Of Journ,1,320.83
Paypal *ibisailingl,1,28.71
A C Entertainment Technologies Ltd,89,54935.81
Www.Recolight.Co.Uk,1,240
Johnsons Treecare Forestry & Surveying,3,16270.13
Www.Paperhygieneservic,23,5090.79
Lofthouse Security Systems,11,6160
Julian Berson Opti,40,3652
M Savelieva,83,19056.99
Europa Trading Gb Ltd,2,985
Ellite Studios,5,13124.87
Active Iq,1,420
Brailsford Brothers Ltd,11,28841
Leeds United Cente,1,12.2
Wakefield Skillcentre,5,5460
Tree House Care Fostering Solutions,658,3812746.36999999
Newross Impex Ltd,1,244.99
Tempo Fm Wetherby,1,1109
Theos Food Co Ltd,65,35043.66
R Lister Plumbing & Heating Specialist,1,3800
Aprite (Gb) Ltd,12,100283.35
Jessops/Internet,1,417.29
Tig Uk Ltd,1,180
Abdur Rahman Khan,26,6149.84
Yeldall Christian Centres,6,10964.99
Halfords 0472,31,5168.41
Physique Management Company Ltd,1,63.74
Tesco Store,1,4.82
Rob Lloyd Jones,1,108
Kath Wells Estate Agents Ltd,6,3850
STANNINGLEY COACH HIRE,4,37580.8
Brimar Plastics Ltd,1,660
Www.Prca.Org.Uk,3,1322
Www.Wholesalerainponch,2,111.79
Youth Sport Trust,18,158003
Dr I Bargh,3,375
A Craven-Griffiths,1,300
S J Butterworth,1,150
Wakefield Sports Club,1,1568.75
Amazon Leisure Ltd,10,2191.76
Sidonie Goss,8,11333.12
Arriva Rail North Ltd,1,279.8
MORRIS QUALITY BAKERS,7,8472.66
Www.Brownfieldbreifing,2,300
Eb *jurassic Kingdom T,2,23.47
Lloyds Tsb Bank Plc,1,40
ECCE COR MEUM LTD,2,2333.6
CAIRD BARDON LTD,1,720.11
Warehouse.Com Ltd,1,1499.99
Chartered Inst Of Lega,16,4062.92
LITTLE RASCALS PRIVATE DAY NURSERY,2,23952.65
Epilepsy Action,4,730
Cof Ltd,18,3311.18
University Of Brighton,1,160.71
Lancashire Care Nhs Foundation Trust,28,5221.63
Mitchells & Butlers Plc,12,2130.83
G & S Smirthwaite Ltd,39,35674
Lancashire Cc Website,2,38
Walsall College,1,1550
Www.Highspeedtraining.,3,245
Green Holme Carpets And F,1,825
Isk8,1,3200
Primary Care Commissioning Cic,1,161
PROQUEST INFORMATION AND LEARNING LTD,1,16870
Leengate Metals Ltd,15,23487.64
Eb *screen Printing Fo,1,125
Courierpoint,2,191.49
N.S.I. (Eccles),1,90
Founded Design Ltd,5,4360
Matthew J Bellwood,1,1125
Apl Media Ltd,5,5925
Partsmaster,2,526.2
Czajka Properties Ltd (All Homes),55,184598.25
Carribean Breeze Steelband,1,270
Education Maintenance,1,220
Hargreaves Energy & Commodities,39,84103.32
Atdi Ltd,1,2500
Kfc - Dewsbury,3,30.32
Psc Systems Ltd,88,37638.33
Dr A A Walker,1,500
Blinds R Us 1986 Ltd,2,900
Button Hill Residents Association,13,3414
Www.Gooutdoors.Co,6,1309.95
Uk Tarps Ltd,1,111.86
Www.Secure-Payment-Ser,15,467.73
Infinity Incorporated Ltd,1,1894
Stuff & Things,1,3000
Nicholas Seivewright,3,2690.91
Theatre Sans Frontieres Ltd,1,500
Mary Elizabeth Ruston,1,19000
Cromwell Tools,20,10025.32
Primed Insight Training & Consultancy,1,300
Www.Timstar.Co.Uk,2,215.44
Skr*everquestsol,1,214.9
Marshall Waddington,8,10550
Middleton Park Baptist Church,10,5406.5
Emily Towler,1,120
Crosstrax,9,6739.2
Lovell Park Residents Association,2,175
Zurich Municiple Management,1,750
Www.Aqa.Org.Uk,2,363.1
Michael Birtill Electrical,1,100
Austin Hayes Uk Ltd,1,6000
Meanwood Junior Playscheme,21,25752.67
Safety Buyer UK Ltd,2,130.8
Solomon O B,1,300
Barwick In Elmet & Scholes Parish,18,329604.48
Keele Facilities Management Ltd,1,249
Space 2 Leeds,9,88904.5
Www.Malmaison.Com,2,240.84
OSLC DEVELOPMENT,2,2033.71
4all Disco & Karaoke,2,260
Broadcrown Ltd,3,56591.93
Netto 2014,2,75.82
Western Sussex Hospitals Nhs Foundation,20,6132.36
BOOKSCAN LIBRARY SERVICES,1,424.54
ZOELLER WASTE SYSTEMS LTD,2,1302.69
Jackson Trophies Ltd,18,11251.78
Riccis At Leeds Ltd,3,152.67
Www.Desktop-Innovation,1,26.48
Gearstones Lodge Management Committee,3,2472
Frontier Therapeutics Ltd,159,876150.9
Lundia (Uk) Ltd,18,9636.04
Marks&spencer Plc,172,8739.95
Car Parking - Office,12,648.98
Pcc For Cleveland,2,190.8
Acas,3,810
HAZEL PRODUCTS,1,1814.56
Psg Energy Ltd,51,248682.48
Digitalissue Ltd,1,450
Amy Balderston,1,500
Www.Equity-Events.Co.U,4,1512
Peter Sagar,1,77.5
M J MCCARTHY LTD,4,6062.01
Uber Gb Oct15 Pmjbm Help.,1,3.94
Paul Clifford,1,61.7
Myplace,1,177757
Paypal *constructio,1,115
Askip4uleeds,4,313.34
Street Head Caravan Park,1,74.16
Electro Supplies.C,4,899.77
Kpms Commercial Lt,1,556.95
3663 BOOKER FOOD SERVICES,4,7705.8
Local Properties Estate Agent,1,600
Addis Housewares Ltd,5,2519.27
Www.Knockonwood.Co.Uk,2,241.45
Leeds Concert Band,4,1600
E On Uk Energy Services,8,604608.63
King Street Health Centre,1,21.5
Blc Steering Group,1,7475
Marsden Court Residents Association,8,1488.88
Sainsbury'S Business Direct,2,9750
M&s Simply Food,1,8.33
Jo Rayner,2,303.36
Kirklees Active Leisure Trust,9,4388.5
Russell Richardson &so,2,81
Paypal *bnmc25g,1,9.5
RECYCLING CONTAINER SOLUTIONS LTD,5,5673.2
The Granby,2,5612.71
Calvert Trust Kielden,1,991.2
Community Transport Association Uk,2,705.41
Frieze Publishing Ltd,1,1026
Ciwm Enterprises Ltd,1,60
Debenhamselectric,2,670
Emma James,4,720
Eb Museums For Health,1,20
James Caverhill Conservation Ltd,40,32653
Www.Arkpetsonline.Co.U,1,283.41
Ec Mainline Co Int,351,43288.26
Clm Fleet Management,1,30
Carter Jonas,1,5
Ledgard Consulting,1,127.8
Frank Key Tool Hire Ltd,1,180
Dispute Refund Reversal,16,6224.65
Prashant Pandya,8,460.45
Paypal *alexandariv,1,33.96
Peter Hird & Sons Ltd,12,36019.17
Smith Jones Ltd,4,21191.57
Pmf Products Ltd,1,345
Alcium Software Ltd,25,94290
Nyengeterai Munangati.,1,550
PROSTART,1,8370.53
Ghg Associates Ltd,1,17156.25
Brian Stenton,1,600
Cleaning Maintenance Services,2,350
Rising Stars Childrens Centre,1,435
Matthew Johnson,1,80
Paypal *jbeal1988,1,20.04
Totality Gcs Ltd,4,11184
Eb *museums Unleashed,3,270.99
Rainbow (Leeds) Ltd,1,10600
Hunslet Roofing Supplies,1,603
Adam Taylor,1,50
Www.Giffgaff.Com,1,10
Sp * Poundtoy.Com,1,57.49
Richard Coyle,8,207.2
Jessops,13,2308.13
Le Bistrot De St So,1,9.75
Motus Tv Ltd,1,700
Church Gardens Coffee Club,3,600
Bradford Dragons Basketball Club,1,1008
Farnell,14,1914.95
Coywood Computers,1,46.33
Hammond & Son Ltd,103,443143
Paypal *wildnights,1,13.75
Budget Kitchens Leeds Ltd,2,2500
Paypal *prcdisposab,1,39.9
AJM FIXINGS & POWER TOOLS LTD,13,12920.11
Woodhall Care Services Ltd,6,4892.33
The Yaboo Company Ltd,292,136464.34
Graveley Horsforth,1,7.75
Andrew Newbound,2,710
Nicola Jane Kendrew,14,3776.47
SURBY UNIT,2,2919.28
Spa Marketing Ltd,1,1620
Astrix Joiners And Builders,1,650
Ipsi Clinical Psychology & Psychotherapy,2,240
Euroflorist,3,89.82
Wg/Fsb Direct,1,8.91
Happy Pet Products Ltd,4,2242.7
Edmolift Uk Ltd,7,12818.4
Pudsey Diamond Engineering Ltd,5,1959.62
Uw Ncast/family Child Nur,1,502.44
Sumup*art Hostel,1,75
Nationwide Solar Ltd,1,5264.31
Sunnbyborough,89,1837767.55
Liberty Support,1837,935752.100000001
Moor Allerton Elderly Care,101,665279.55
Better Action For Families Cio,5,9000
MOORLEIGH NURSING HOME,4,54738.08
Martinch Medical Practice,1,151.42
J Goodman,1,327.5
Www.Esriuk.Com,1,2295
Anne Holmes & Julia Williment,1,932.85
Sportsdirect 378,1,112.99
City Hl Thcr Prtnrshp,1,214
H Gilpin,7,3808.35
Www.Laminatingpouches.,4,107.92
St Marys Church Rothwell,6,2156
Clocking System,3,340
Environmantal Management Publishing Ltd,5,1809
Abst,1,180
Tna Discovery Orders,2,20.49
West & Machell Ltd,4,16192
Rachael Rose,6,4177.83
Www.Pwtag.Org,9,583.32
Dobson Uk Llp,5,182000
Swinton Estate,1,1000
Choc-Affair,3,1988.15
Murals Wallpaper,1,309.16
Fresh Ground,9,5146.95
Farsley Live At Home Lunch Club,5,11509.25
Park View Primary Academy,8,21869.05
Ycob College & Academy,1,245
Grant Thornton Uk Llp,9,166922.5
The Mj Magazine,6,5295
City Of Wakefield Metropolitan District,1121,74136053.9299999
Sanderson Weatherall Property Management,4,9870
Group Travel World,5,650
Ryan Leisure Activities Ltd,7,126370
QA LTD,13,61183
St James' Church,2,3200
John Paul Burgess,4,4413
Frank B Scragg & Co,5,1797.2
Universal Pool Services Ltd,20,64026
METCO 2000 LTD,4,4159.25
Sarah Jane Etheridge,1,300
Fforde Grene Fc,2,700
Paypal *sigprint,3,88.07
Lee Smith,1,600
Kevin Franks,1,94.5
Park Resorts Ltd,7,876.53
Julie Clarkson,1,275
Leeds Mental Health Services Teaching,1,7636
Hampshire County Council,11,52621.14
Burnsall Court Activity Group,1,300
The Grange,2,2054
C & Sa Thompson,1,11972.15
Ben Taylor,1,300
Ge Money Servicing Ltd,3,199.14
Ikea Ltd,119,17098.39
Dugdale Ltd,1,100000
Guerilla Films (Leprince) Ltd,1,6600
Ferno (Uk) Ltd,2,955.36
Blast Cleaning & Maintenance Ltd,1,600
Perfect Print Solutions,19,9452.72
Www.Total-Locker-Servi,1,10.5
Partnerships In Care L,345,85430.13
Prairie Sports Village,1,15.29
Hine Labels Ltd,87,94899.14
Headingley Festival Of Ideas,1,300
Barnardos,1087,3570910.80999999
Sheffield Alcohol Support Service,4,12980.66
Camack Ltd,4,2291.38
Rothwell N & S Aged People'S Welfare,2,300
Tri Care Ltd,4,3388.59
Eureka! The National C,1,303.1
Abe Marrache,1,1350
Haria Towers - Fixed Charge Receivership,7,9450
Universal Av Services Ltd,3,20668.8
Alec Williams,2,915.55
Harehills & Chapeltown Law Centre,20,451304.1
Leeds.Theodi.Org,6,10068.5
Aireville Campus,1,195
Paypal *hu Zheng,1,21.8
Forge Leisure Uk Ltd,19,57575.7
Dods Parliamentary Communications Ltd,12,3718.75
CADDICK CONSTRUCTION LTD,3,39520.23
The Youth Association,34,418438.58
Acs Business Supplies Lt,1,20.29
R H Environmental Ltd,1,159
Keyhole Properties,2,1025
M A Clarke,17,17381.5
Hm Land Registry Nw,6,4158.5
M Bradbrook Electrical Services,5,90807.01
Barrowby Construction Ltd,2,18500
D Brash & Sons Ltd,15,3746.5
Pcc Lancashire,3,300
Sts Touring Prod,1,210
Llgc/nlw,2,36.8
Three Churches Project,2,5694
The North Light Gallery,1,500
Best Badges Ltd,1,237.5
St Lukes Church,7,1710
Horsforth Village Historical Society,2,1919
Www Cleanstuff Co Uk,2,40.52
Timothy Straker,1,16000
Complete Care Shop,13,578.57
Gp Homecare Ltd,306,906071.15
Coultons Bread Ltd,4985,147465.969999999
Saa - Uk,4,20000
Leander Architectural,2,536.75
Sp * Fred Aldous,1,34.85
Carleton Court Care Ltd,27,32666.27
Raybhern Ltd,4,3360
Strategic Commissioning Partnerships Llp,19,125590.14
Ltt Vending Ltd,1,137.07
John Packer Ltd,99,58154.2
Pitney Bowes Finance Plc,18,15282.52
Abaris Properties,1,608.66
Reids Of Nottingham,2,243.9
WM SMITH & SONS (BARNARD CASTLE)LTD,2,1670
Roberts- Harry Ltd,1,325
Parkwood Leisure Ltd,1,211
Cex,2,79.15
Caroline Rendell,3,8014
Pavilion Publishing And Media Ltd,1,99
Abu 2 Go Ltd,2,340
Tim Hunter & A Kellett,6,1135.36
Mr M Ahsan,35,16280
Shine,13,20326.6
The Grill On The S,2,95.2
Add-A-Tone Productions Ltd,1,1350
Djm Music Ltd,2,77.01
St Cyprian With St James Church,1,105
Adam & Eve,1,27.55
Valerie Sterling,2,725
Templegate Builders Ltd,2,29900
Wilsons Solicitors,5,47517.2
Dsam Ltd Re Holbeck Estate Co Service,1,4935.3
Adele Carpenter,1,500
Mmamatsltd Internet Gb,2,431.95
Ashdown Supplies,22,15041.62
Paypal *accounts,1,8.85
Keya,7,13108
Tutorcare Ltd,5,9990
Judith Milner,1,674.7
Paypal *modmypi Ltd,1,35.81
Crossgates Methodist Church Property Acc,1,220
Kippax Neighbourhood Plan,4,20000
Applied Language Solutions,4,3159.32
City View Medical Practice,36,82734.92
Whistl North Ltd,291,609649.52
Northfield Community Centre,3,1120
Mhm Plant Ltd,1,4684.95
Greenfield Bacon L,1,6.25
Northerngasnetwork,2,1045.2
Paypal *gj Direct,1,23.8
Paypal *derngatesol,1,28.95
Dale Eddison,5,2423.93
Jane Semple,19,55962.99
Fresco Picturewall Ltd,1,223.45
Copperhill Nursing Home,657,10896642.85
Ac Education,1,1100
Axis Business Services,1,32.95
Nea,3,625
Www.Vkf-Renzel.Co.,1,64.28
Leeds West Indian Centre Womens Group,3,950
Just Desserts Yorkshire Ltd,31,2545.8
Horne Engineering Ltd,4,18020.4
Caldercote Ltd,1,1000
The Bag N Box Man,1,116.34
COUNTY SCAFFOLDING SERVICES LTD,1,1796
El Industrial & Commerical Maintenance,2,330
Sxs Event Production Services Ltd,2,5555
Solor Care Group Ltd,593,5816498.21999999
Luu Sports And Societies,4,1405
A Zoom Taxis,19,37461
M & Gill Hanney,1,400
Paintball North Ltd,4,2175
Www.Axxion.Co.Uk,1,51.96
Centre For Assessment & Recognition Ltd,1,2750
Panorama Living Ltd T/A Royalle Estates,1,12580
Lifeways,21,139338.03
Public Sector Publishing Ltd,4,16345
ENVIRONMENT AGENCY,2,63935.25
H M Prison Service,2,8592
North Leeds Community Nursery,104,428243.87
Sophia Plender,1,100
Whitwood Care Ltd,10,315339.87
HOUSING 21,6,3660.6
University Of Leeds Consulting Ltd,2,12600
Aqdm - Air Quality Data Management,11,16900
Emily Diamond,3,725
Frances Hunt,2,1884
Love2reward.Co.Uk,2,492
Corin Furness,1,700
Www.Bagsdirect.Com,1,82.42
The Robert Fuller Gallery,17,2561.28
Paypal *museumethno Mu,1,26.25
28694,1,4.25
Wordpress Tun2sh910p,2,100
Alex Milne Law Costing Services Ltd,1,7978.2
Jane Curnin,4,2208.52
Elliot Wigzell,44,7598.79
Estates Gazette,4,1073.75
Marcus Thompson,1,100
Geographers A-Z Map Company Ltd,8,17775.85
Pop Up And Play Events Ltd,6,11017.61
Stockingate Care Home,1,4202.63
Www.Panelwarehouse.Com,3,815.54
Wakefield Welding Ctr Lt,1,119.01
M2 Design And Planning,1,190
Dayoutwiththekids,4,2095.8
N P D LTD,1,1145
Sign-A-Rama,7,7648.86
Kings Security Systems Ltd,23,8102.94
Filtermech Plants Sale,1,207.5
Paypal *bauer Media,1,29
Basis,8,4565
Morleys,3,241.62
Green King Retail Ltd,2,590
Thebigword,9,1781.98
Canon (Uk) Ltd,66,229288.89
Scan International,1,957.91
Marlborough Radio,137,48885.88
Louis Ward,7,11691.25
Smartsurvey Ltd,2,15000
Paypal *mustufa,2,135
Rfl,2,3830
Jo-Dee Hanley,2,20.7
Cap Motor Research,3,2458
Searching For Excellence,1,1200
COMPLETE CARE AGENCY,29,14664.98
The Caldecott Foundation,12,208932.16
Qbe Insurance,2,6739.13
Quantum Product Design,5,1250
Www.Trade-Fixingsdirec,1,114.18
Kennores Healthcare Recruitment Ltd,46,5918
Naomi Korn Copyright Consultancy Ltd,3,7385.35
Rmb Auto Ltd,3,346.8
Leeds Limmud,3,500
Acco Uk Ltd,3,453.3
Rose Park,66,81351.09
Marsden Court Social Club,1,100
Safelives,1,150
Glen Dimplex Home Appl,1,99
Media Mad Ltd,5,5479
Affordable Webbs,1,104
Veolia Es Leeds Ltd,36,64995259.92
Furnitubes International Ltd,7,28721.5
Wicken Toys Ltd,1,663
Independent Film Sales Ltd,1,500
Mohammed Ali Manduri,46,6653.29
Debra Rennison,16,7541.42
Liberty Gas Group Ltd,889,18539886.52
Crossbow Education Ltd,3,60.64
Drumming 4 Business,1,2000
J L A,4,13000
Lsi Ltd,11,20319.5
Kenneth Bush Solicitors,1,248
Eastgate News,1,7.19
Gough & Kelly Ltd,94,190392.98
Contech Uk Concrete Services Ltd,2,40000
B & Q 1086,1,163.34
Allocate Software Plc,1,4995
Armitages,1,127
Ross Williams,1,500
Conservative Club Morley,1,600
Express Matting Services Ltd,1,623.76
Yum Yum Treats,1,4
GARAGE REVAMPS LTD,1,460
Natural Products (Uk) Ltd,6,4907.68
The Pluss Organisation,10,83970.26
Paypal *lockedinltd,8,527.8
Weebly-Charge.Com,1,93.11
Annie Gray,2,1108.2
www.snozoneuk.com,1,1250
Grace Homecare Ltd,221,49476.7599999999
Atlas,1,500
ELMHURST RESIDENTIAL HOME,2,1981.6
Safetykleen Uk Ltd,6,2012.85
Gas Data Ltd,7,4794
The New Inn,1,7.55
Dean Landscapes Ltd,1,600
Www.Postboxshop.Com,1,59.82
Nicola Barker,23,8425.95
Four Point Mapping Ltd,1,400
Leeds Mandela Warriors,3,3085
Cables And Stuff,18,16206.78
Crowd Dynamics International Ltd,1,3390
Kaanz Badminton Club,9,1800
East Ardsley Art Club,3,300
Logic Lettings Ltd,1,500
Buttercup Services,2,225
Etsy.Com - Intheclear,3,34.23
Lcr Ltd,2,32422.17
Clubbercise Ltd,10,1699.23
Yorkshire Office Machines,5,457.6
Simply Be Internet,3,96
Gov.Uk,1,101.92
X1 Management Ltd,1,200
Simon Skirrow,2,2210
Conservation.Co.Uk,12,1236.02
Skylarks Nursing Home,4,5716.75
Polash Tandoori Restau,1,52.29
B & Q 1232,1,30
Richardson Social Work Associates,202,45807.31
Decor Systems Limiited,1,536.09
1st Lofthouse Christchurch Rainbows,1,100
Janey'S Web,9,82977.41
J S Miller Distribution Ltd,108,79428.4200000001
Chadwick Lawrence LLP,1,13000
Westerton Close Christmas Party,1,500
Hemsworth Park Nursing Home,107,123347.01
Craegmoor Dolphin Lane,27,82786.68
Taskmaster Ltd,2,3319.9
Musical Arc,20,36898.96
Store First,1,176
Aa Ulr,1,12037.86
Royal British Legion Poppy Appeal,6,2350
Derventio Brewery Ltd,1,141.68
Www.Gear4music.Com,17,2389.46
Aspire Psychological Services Ltd,12,3195
Mentor Forensic Services Ltd,1,270
Cardinal Heenan-Cateri,4,130
Doubletree By Hilton,2,198
Manga Entertainment Limitied,1,436.8
Fields New Road Primary Care,1,73.5
Alan Peat Ltd,2,1726.68
Spg Media Ltd,2,3031.25
Gallery Sys,1,8550
Thon Hotel As,1,302.08
Safe Service Locker Se,1,472
Honest Distribution Services,1,4733.79
Simpson Solk & Son Ltd,1,80
Ticcs,1,345
Hilary Mccollum Ltd,11,19505.04
N RAFIQUE,1,549.25
Jen Armstrong,1,175
Initial Washroom Hygiene,928,204290.949999999
Family Futures Consortium Ltd,19,97581.77
J H M Butt & Co Ltd,1,55.97
Falon Nameplates Ltd,29,4544.6
Amz*the Monster Booksh,1,30.02
Bodmin Nursery,1,19.58
Handykam,1,500
Ukba7524881455,1,1476
Amara Landscaping & Maintenance,1,1290
Sewell Of Leeds,12,7630.2
Jlife Ltd,7,4129.5
Steve Jones,1,180
Pearson Education,17,16011.57
Broadway,4,175.55
Handley Gibson Twaites,1,30
Birch Printers (Bradford) Ltd,1,624
Personnal Best Life Coaching,4,2906
Making Space,125,310265.13
Arts Trinity Ltd,2,1600
Friends Of Leeds Baroque,1,950
Alphabet Gb,1,50
Travelodge Bar Cafe,1,10.79
Promotional Books,7,3281.31
Tri-It,1,469.5
Janet Fletcher,3,1860
Airedale International Air Conditioning,2,3300
Collaborate Out Loud C.I.C.,1,1200
Charliesdirect.Co.,4,840.55
Veolia Es (Uk) Ltd,4,9350.09
Storm Environmental Ltd,20,117026.26
Card & Candy Corne,1,7.92
Palm E International Ltd,1,27.92
The Continental Ba,1,7.2
White Young Green International,1,544.36
Dr Tyrone F Glover,1,1037.4
Lambert Engineering Ltd,3,780
Mojo Promotions Ltd,1,658.43
Rowtech Security Ltd,9,3276.9
DESIGN IT,3,5524
Don Little Propertys,1,345.6
Mellor Properties,20,11333.22
Www.Simplelighting.Co.,4,237.82
J D Sports 163,1,50
Paypal *eti Ltd Eti Lt,1,44.4
Pre School Learning Alliance,13,354751.36
Yorkshire Dance Centre Trust Co Ltd,78,625930.82
New English Teas Ltd,1,637.92
Neil Cameron,1,3500
Amal Akasha,3,99
One Stop 6254,7,87.94
Www.Packaging2buy.Co.U,1,17.4
Seyedeh Sepideh Mojabi,8,367.95
Doris Dent Estates,1,1100
Ccl Computers,35,4005.75
